force,x,y,strain,Z1,Z2,Z3,Z4,Z5,Z6,Z1-Z4,Z2-Z6,Z3-Z5,Tforce
1.5,1,1,0,1747172,4186488,3736154.4,1899212.5,3811821,4466241,-152040.5,-279753,-75666.6,1.49E+00
1.5,1,1,0,1751442,4183346.4,3739480.8,1890650,3811379,4466475,-139208,-283128.6,-71898.2,1.49E+00
1.5,1,1,0,1754480,4214191.2,3750238.8,1897825,3811665,4433117,-143345,-218925.8,-61426.2,1.49E+00
1.5,1,1,0,1744694,4202672,3759320.4,1900737.5,3828968,4445480,-156043.5,-242808,-69647.6,1.49E+00
1.5,1,1,0,1750700,4183659.2,3736194,1895950,3828227,4464122,-145250,-280462.8,-92033,1.49E+00
1.5,1,1,0,1751652,4197803.2,3746754,1895200,3812497,4448665,-143548,-250861.8,-65743,1.49E+00
1.5,1,1,0,1749916,4198891.2,3758145.6,1897562.5,3820609,4448184,-147646.5,-249292.8,-62463.4,1.50E+00
1.5,1,1,0,1746920,4193600.8,3739256.4,1892887.5,3816033,4455789,-145967.5,-262188.2,-76776.6,1.49E+00
1.5,1,1,0,1753262,4183577.6,3745315.2,1892112.5,3807128,4448652,-138850.5,-265074.4,-61812.8,1.49E+00
1.5,1,1,0,1750392,4206602.4,3748140,1897825,3820310,4441229,-147433,-234626.6,-72170,1.49E+00
1.5,1,1,0,1747676,4184393.6,3736959.6,1897387.5,3829683,4451187,-149711.5,-266793.4,-92723.4,1.50E+00
1.5,1,1,0,1749230,4197028,3747744,1893825,3804190,4461977,-144595,-264949,-56446,1.50E+00
1.5,1,1,0,1750364,4199380.8,3749552.4,1895600,3810404,4431544,-145236,-232163.2,-60851.6,1.50E+00
1.5,1,1,0,1748740,4189520.8,3751704,1893112.5,3827785,4460989,-144372.5,-271468.2,-76081,1.50E+00
1.5,1,1,0,1751106,4195164.8,3739665.6,1896800,3815825,4459819,-145694,-264654.2,-76159.4,1.51E+00
1.5,1,1,0,1750154,4209580.8,3750674.4,1895275,3813888,4436458,-145121,-226877.2,-63213.6,1.51E+00
1.5,1,1,0,1749034,4195654.4,3758053.2,1897462.5,3829852,4464746,-148428.5,-269091.6,-71798.8,1.52E+00
1.5,1,1,0,1749860,4182856.8,3733342.8,1891800,3818724,4469881,-141940,-287024.2,-85381.2,1.51E+00
1.5,1,1,0,1750196,4210546.4,3757842,1894912.5,3816696,4424407,-144716.5,-213860.6,-58854,1.51E+00
1.5,1,1,0,1748292,4212804,3745948.8,1899825,3833427,4449848,-151533,-237044,-87478.2,1.51E+00
1.5,1,1,0,1748600,4172670.4,3729673.2,1895350,3817749,4457284,-146750,-284613.6,-88075.8,1.50E+00
1.5,1,1,0,1750056,4207894.4,3744391.2,1894762.5,3805230,4454333,-144706.5,-246438.6,-60838.8,1.50E+00
1.5,1,1,0,1744246,4195545.6,3741500.4,1902287.5,3837873,4459338,-158041.5,-263792.4,-96372.6,1.49E+00
1.5,1,1,0,1747676,4192540,3737659.2,1893675,3824847,4460313,-145999,-267773,-87187.8,1.50E+00
1.5,1,1,0,1749566,4208180,3737131.2,1894650,3807336,4438148,-145084,-229968,-70204.8,1.50E+00
1.5,1,1,0,1747830,4194607.2,3754476,1900487.5,3828396,4451460,-152657.5,-256852.8,-73920,1.51E+00
1.5,1,1,0,1749286,4178192,3733725.6,1893050,3814499,4448431,-143764,-270239,-80773.4,1.49E+00
1.5,1,1,0,1749832,4211675.2,3749460,1899975,3812289,4435184,-150143,-223508.8,-62829,1.50E+00
1.5,1,1,0,1747830,4199000,3752588.4,1897062.5,3817684,4454385,-149232.5,-255385,-65095.6,1.50E+00
1.5,1,1,0,1751876,4194784,3729712.8,1895362.5,3815019,4455386,-143486.5,-260602,-85306.2,1.49E+00
1.5,1,1,0,1749314,4212858.4,3738094.8,1895587.5,3801200,4420234,-146273.5,-207375.6,-63105.2,1.51E+00
1.5,1,1,0,1747578,4192744,3746041.2,1899750,3836183,4460183,-152172,-267439,-90141.8,1.49E+00
1.5,1,1,0,1747494,4186392.8,3727812,1894900,3810378,4457011,-147406,-270618.2,-82566,1.49E+00
1.5,1,1,0,1749384,4219277.6,3750476.4,1896037.5,3813862,4441281,-146653.5,-222003.4,-63385.6,1.49E+00
1.5,1,1,0,1747606,4193138.4,3752509.2,1900312.5,3818425,4466423,-152706.5,-273284.6,-65915.8,1.49E+00
